distance,distance_ratio,error_code,exact_path_overlap_rate,fallback_used,found,frontier_revisit_rate,heuristic_reversal_rate,nodes,parallel_steps,peak_memory_kib,preprocessing_time_ms,preprocessing_work,query_time_ms,query_work,reentry_count,reentry_count_trace,reentry_survival_mean,reentry_survival_min,requested_nodes,seed,solver,switch_count,switch_distance_mean,topology,total_time_ms,total_work,trace_events
58.0,1.0,,,False,True,,,873,614,83.8046875,0.0,0,4.856286000176624,2331,0,,,,900,1,dijkstra,0,,wall,4.856286000176624,2331,
58.0,1.0,,,False,True,,,873,753,454.078125,0.0,0,13.262806000057026,2870,0,,,,900,1,bidirectional_dijkstra,0,,wall,13.262806000057026,2870,
58.0,1.0,,,False,True,,,873,505,84.3515625,0.0,0,4.533218000688066,1911,0,,,,900,1,astar,0,,wall,4.533218000688066,1911,
58.0,1.0,,0.0,False,True,1.0,0.0,873,90,0.0,0.327964999996766,873,0.6845130001238431,88,0,0,0,0,900,2,mrpc_dg5_switchback,0,0,wall,1.012738000099489,961,4
58.0,1.0,,,False,True,,,873,614,83.8046875,0.0,0,5.350170999918191,2331,0,,,,900,2,dijkstra,0,,wall,5.350170999918191,2331,
58.0,1.0,,,False,True,,,873,753,454.078125,0.0,0,13.381705999563565,2870,0,,,,900,2,bidirectional_dijkstra,0,,wall,13.381705999563565,2870,
58.0,1.0,,,False,True,,,873,505,84.3515625,0.0,0,3.9654519996474846,1911,0,,,,900,2,astar,0,,wall,3.9654519996474846,1911,
78.0,1.0,,0.0,False,True,1.0,0.0,1564,159,0.0,0.4944660004184698,1564,0.9679999993750243,157,0,0,0,0,1600,0,mrpc_dg5_switchback,0,0,wall,1.462666000406898,1721,4
78.0,1.0,,,False,True,,,1564,1108,136.8984375,0.0,0,9.91000899921346,4265,0,,,,1600,0,dijkstra,0,,wall,9.91000899921346,4265,
78.0,1.0,,,False,True,,,1564,1354,753.453125,0.0,0,26.11364099993807,5226,0,,,,1600,0,bidirectional_dijkstra,0,,wall,26.11364099993807,5226,
78.0,1.0,,,False,True,,,1564,903,137.6875,0.0,0,8.30378600039694,3467,0,,,,1600,0,astar,0,,wall,8.30378600039694,3467,
78.0,1.0,,0.0,False,True,1.0,0.0,1564,159,0.0,0.49511599991092226,1564,0.9835439996095374,157,0,0,0,0,1600,1,mrpc_dg5_switchback,0,0,wall,1.4788700000281096,1721,4
78.0,1.0,,,False,True,,,1564,1108,136.8984375,0.0,0,9.930930999871634,4265,0,,,,1600,1,dijkstra,0,,wall,9.930930999871634,4265,
78.0,1.0,,,False,True,,,1564,1354,753.453125,0.0,0,26.149856000301952,5226,0,,,,1600,1,bidirectional_dijkstra,0,,wall,26.149856000301952,5226,
78.0,1.0,,,False,True,,,1564,903,137.6875,0.0,0,8.12970300012239,3467,0,,,,1600,1,astar,0,,wall,8.12970300012239,3467,
78.0,1.0,,0.0,False,True,1.0,0.0,1564,159,0.0,0.4903999997623032,1564,0.9734579998621484,157,0,0,0,0,1600,2,mrpc_dg5_switchback,0,0,wall,1.4640380004493636,1721,4
78.0,1.0,,,False,True,,,1564,1108,136.8984375,0.0,0,9.799311999813654,4265,0,,,,1600,2,dijkstra,0,,wall,9.799311999813654,4265,
78.0,1.0,,,False,True,,,1564,1354,753.453125,0.0,0,26.0187779995249,5226,0,,,,1600,2,bidirectional_dijkstra,0,,wall,26.0187779995249,5226,
78.0,1.0,,,False,True,,,1564,903,137.6875,0.0,0,8.01785400017252,3467,0,,,,1600,2,astar,0,,wall,8.01785400017252,3467,
38.0,1.0,,0.14634146341463414,True,True,0.0,0.375,372,81,0.0,0.09823799973673886,372,0.6707620004817727,79,0,0,0,0,400,0,mrpc_dg5_switchback,1,0,u_shape,0.7693500001551001,451,47
38.0,1.0,,,False,True,,,372,372,85.75,0.0,0,2.499419999367092,1348,0,,,,400,0,dijkstra,0,,u_shape,2.499419999367092,1348,
38.0,1.0,,,False,True,,,372,327,162.7421875,0.0,0,4.48365299962461,1193,0,,,,400,0,bidirectional_dijkstra,0,,u_shape,4.48365299962461,1193,
38.0,1.0,,,False,True,,,372,372,85.625,0.0,0,2.465929000209144,1348,0,,,,400,0,astar,0,,u_shape,2.465929000209144,1348,
38.0,1.0,,0.14634146341463414,True,True,0.0,0.375,372,81,0.0,0.09669599967310205,372,0.5798339998364099,79,0,0,0,0,400,1,mrpc_dg5_switchback,1,0,u_shape,0.6768709999960265,451,47
38.0,1.0,,,False,True,,,372,372,85.75,0.0,0,2.5170560002152342,1348,0,,,,400,1,dijkstra,0,,u_shape,2.5170560002152342,1348,
38.0,1.0,,,False,True,,,372,327,162.7421875,0.0,0,4.469341000003624,1193,0,,,,400,1,bidirectional_dijkstra,0,,u_shape,4.469341000003624,1193,
38.0,1.0,,,False,True,,,372,372,85.625,0.0,0,2.4943720000010217,1348,0,,,,400,1,astar,0,,u_shape,2.4943720000010217,1348,
38.0,1.0,,0.14634146341463414,True,True,0.0,0.375,372,81,0.0,0.09738700009620516,372,0.5766799995399197,79,0,0,0,0,400,2,mrpc_dg5_switchback,1,0,u_shape,0.6742570003552828,451,47
38.0,1.0,,,False,True,,,372,372,85.75,0.0,0,2.5203420000252663,1348,0,,,,400,2,dijkstra,0,,u_shape,2.5203420000252663,1348,
38.0,1.0,,,False,True,,,372,327,162.7421875,0.0,0,4.606888999660441,1193,0,,,,400,2,bidirectional_dijkstra,0,,u_shape,4.606888999660441,1193,
38.0,1.0,,,False,True,,,372,372,85.625,0.0,0,2.505610000298475,1348,0,,,,400,2,astar,0,,u_shape,2.505610000298475,1348,
58.0,1.0,,0.0,False,True,1.0,0.0,859,88,0.0,0.2629269993121852,859,0.5713710006602923,86,0,0,0,0,900,0,mrpc_dg5_switchback,0,0,u_shape,0.8344989992110641,945,4
58.0,1.0,,,False,True,,,859,859,137.0234375,0.0,0,7.174041999860492,3230,0,,,,900,0,dijkstra,0,,u_shape,7.174041999860492,3230,
58.0,1.0,,,False,True,,,859,768,447.484375,0.0,0,13.736129999415425,2899,0,,,,900,0,bidirectional_dijkstra,0,,u_shape,13.736129999415425,2899,
58.0,1.0,,,False,True,,,859,859,139.484375,0.0,0,7.336736999604909,3230,0,,,,900,0,astar,0,,u_shape,7.336736999604909,3230,
58.0,1.0,,0.0,False,True,1.0,0.0,859,88,0.0,0.24595100057922537,859,0.5229789994700695,86,0,0,0,0,900,1,mrpc_dg5_switchback,0,0,u_shape,0.7691399996474502,945,4
58.0,1.0,,,False,True,,,859,859,137.0234375,0.0,0,7.411699999465782,3230,0,,,,900,1,dijkstra,0,,u_shape,7.411699999465782,3230,
58.0,1.0,,,False,True,,,859,768,447.484375,0.0,0,13.49423499959812,2899,0,,,,900,1,bidirectional_dijkstra,0,,u_shape,13.49423499959812,2899,
58.0,1.0,,,False,True,,,859,859,139.484375,0.0,0,7.390557999315206,3230,0,,,,900,1,astar,0,,u_shape,7.390557999315206,3230,
58.0,1.0,,0.0,False,True,1.0,0.0,859,88,0.0,0.24766299975453876,859,0.5246020000413409,86,0,0,0,0,900,2,mrpc_dg5_switchback,0,0,u_shape,0.772464999499789,945,4
58.0,1.0,,,False,True,,,859,859,137.0234375,0.0,0,7.248875000186672,3230,0,,,,900,2,dijkstra,0,,u_shape,7.248875000186672,3230,
