case_id,distance,found,gate_action,gate_reasons,path_distance,quality_guard_replaced,quality_guard_used,reentry_count,requested_nodes,seed,switch_count,topology,total_time_ms,total_work,valid,variant
39,78.0,True,,,78.0,False,False,3,1600,0,4,spiral,75.79583199992612,6323,True,base
39,78.0,True,,,78.0,False,False,3,1600,0,4,spiral,151.51930399997582,11087,True,gate
40,78.0,True,,,78.0,False,False,3,1600,1,4,spiral,76.45160399999895,6323,True,base
40,78.0,True,,,78.0,False,False,3,1600,1,4,spiral,155.15034700001706,11087,True,gate
41,78.0,True,,,78.0,False,False,3,1600,2,4,spiral,75.86929199999304,6323,True,base
41,78.0,True,,,78.0,False,False,3,1600,2,4,spiral,150.74034100007339,11087,True,gate
42,38.0,True,,,38.0,False,False,0,400,0,1,random_obstacles,2.498476999903687,439,True,base
42,38.0,True,,,38.0,False,True,0,400,0,1,random_obstacles,22.944177999988824,2716,True,gate
43,38.0,True,,,38.0,False,False,0,400,1,1,random_obstacles,3.8150520000499455,491,True,base
43,38.0,True,,,38.0,False,True,0,400,1,1,random_obstacles,25.109917000008863,2611,True,gate
44,38.0,True,,,38.0,False,False,1,400,2,1,random_obstacles,4.130575000090175,520,True,base
44,38.0,True,,,38.0,False,True,1,400,2,1,random_obstacles,27.03004600004988,2699,True,gate
45,78.0,True,,,78.0,False,False,0,1600,0,0,random_obstacles,6.696382999962225,1527,True,base
45,78.0,True,,,78.0,False,False,0,1600,0,0,random_obstacles,84.65752299991891,6225,True,gate
46,78.0,True,,,78.0,False,False,0,1600,1,0,random_obstacles,6.840338999950291,1553,True,base
46,78.0,True,,,78.0,False,False,0,1600,1,0,random_obstacles,88.30819299998893,6445,True,gate
47,78.0,True,,,78.0,False,False,0,1600,2,0,random_obstacles,6.859598000005462,1557,True,base
47,78.0,True,,,78.0,False,False,0,1600,2,0,random_obstacles,83.73491900010777,6445,True,gate
48,inf,False,DISCONNECTED_PRECHECK,,inf,False,False,0,400,0,0,disconnected,0.32907299998896633,381,True,base
48,inf,False,DISCONNECTED_PRECHECK,LOW_RISK,inf,False,False,0,400,0,0,disconnected,18.75169499999174,1783,True,gate
