cases,found_rate,mean_critical_path_ops,mean_distance_ratio,mean_logical_rounds,mean_parallel_width,mean_serial_fraction,mean_wall_ms,mean_work,mean_worker_utilization,solver,topology,valid_rate,workers,worst_distance_ratio
6,1.0,98.66666666666667,1.0565761295714753,49.333333333333336,1.9455307619558826,0.3395323914206183,1.3183836667849391,1063.3333333333333,0.9727653809779413,dg5_bulk,random_geometric,1.0,2,1.1190921684697779
6,1.0,103.5,1.0470298986809852,70.5,3.762934220251293,0.2100642299339217,2.3948139999750615,1162.1666666666667,0.9407335550628233,dg5_bulk,random_geometric,1.0,4,1.1172882481140531
6,1.0,142,1.0526888694668277,113,6.542649017649017,0.13428720374221453,3.9929600000808327,1357.5,0.8178311272061272,dg5_bulk,random_geometric,1.0,8,1.0989516892661317
6,1.0,966.6666666666666,1.0,966.6666666666666,1,1,19.36467383332759,8955.333333333334,1,dijkstra,random_geometric,1.0,1,1.0
6,1.0,759.3333333333334,1.0,759.3333333333334,1,1,10.413498166902476,4880.333333333333,1,astar,scale_free,1.0,1,1.0
6,1.0,9.5,1.0,9.5,1,1,4.686904833458054,78,1,bidir,scale_free,1.0,1,1.0
6,1.0,784.6666666666666,1.386111111111111,750.6666666666666,1.0,0.5,3.1931485001829665,1717.3333333333333,1.0,dg5_bulk,scale_free,1.0,1,1.6666666666666667
6,1.0,400.3333333333333,1.386111111111111,382.3333333333333,1.9272312373225151,0.3416784630940344,3.1951466667123896,1730.1666666666667,0.9636156186612576,dg5_bulk,scale_free,1.0,2,1.6666666666666667
6,1.0,201.16666666666666,1.3527777777777779,191.5,3.4962962962962965,0.22295834628366404,3.1903493333326574,1727.1666666666667,0.8740740740740741,dg5_bulk,scale_free,1.0,4,1.6666666666666667
6,1.0,97.5,1.3111111111111111,91.16666666666667,5.888888888888889,0.14665286404416839,3.2129933335151386,1681.1666666666667,0.7361111111111112,dg5_bulk,scale_free,1.0,8,1.6666666666666667
6,1.0,759.3333333333334,1.0,759.3333333333334,1,1,10.769800500080843,4880.333333333333,1,dijkstra,scale_free,1.0,1,1.0
6,1.0,1910,1.0,1910,1,1,21.29651050033014,6670.666666666667,1,astar,spiral,1.0,1,1.0
6,1.0,1102.3333333333333,1.0,1102.3333333333333,1,1,26.553133500177257,3770,1,bidir,spiral,1.0,1,1.0
6,1.0,3895.6666666666665,1.1929824561403508,3685,1.0,0.7384492486721053,45.44416533326512,8076.666666666667,1.0,dg5_bulk,spiral,1.0,1,1.5789473684210527
6,1.0,2570,1.1929824561403508,2430,1.9537476768101547,0.6553488346008032,43.00364533340447,8160,0.9768738384050774,dg5_bulk,spiral,1.0,2,1.5789473684210527
6,1.0,1921.3333333333333,1.2105263157894737,1808.6666666666667,3.7019306540583137,0.5635063887361972,43.81980966672927,8304.666666666666,0.9254826635145784,dg5_bulk,spiral,1.0,4,1.631578947368421
6,1.0,1604.3333333333333,1.0,1524.3333333333333,6.372611267984403,0.6756007809215622,43.58148683362136,8426,0.7965764084980503,dg5_bulk,spiral,1.0,8,1.0
6,1.0,1910,1.0,1910,1,1,21.034861166602543,6670.666666666667,1,dijkstra,spiral,1.0,1,1.0
6,1.0,1353.6666666666667,1.0,1353.6666666666667,1,1,13.567771833246903,5246.166666666667,1,astar,wall,1.0,1,1.0
6,1.0,1906.6666666666667,1.0,1906.6666666666667,1,1,39.157166666579236,7425,1,bidir,wall,1.0,1,1.0
6,1.0,453.3333333333333,1.0,226.66666666666666,1.0,0.5,2.2512973334111543,2484.3333333333335,1.0,dg5_bulk,wall,1.0,1,1.0
6,1.0,260,1.0,139.33333333333334,1.9763704398256672,0.3359930524794255,2.4163965000904377,2529,0.9881852199128336,dg5_bulk,wall,1.0,2,1.0
6,1.0,284.5,1.0,178.16666666666666,3.7680735907601512,0.2099783299468996,3.7666731665619104,2859.3333333333335,0.9420183976900378,dg5_bulk,wall,1.0,4,1.0
6,1.0,226.66666666666666,1.0,154.66666666666666,6.736254486254486,0.1315321151833536,5.154718833485579,3117.1666666666665,0.8420318107818108,dg5_bulk,wall,1.0,8,1.0
6,1.0,1701.6666666666667,1.0,1701.6666666666667,1,1,16.779144000035256,6610.333333333333,1,dijkstra,wall,1.0,1,1.0
