barrier_count,case_id,critical_path_ops,distance_ratio,error_code,found,logical_rounds,max_parallel_width,mean_parallel_width,nodes,reentry_count,requested_nodes,seed,serial_fraction,solver,switch_count,topology,total_work,valid,wall_ms,worker_utilization,workers
66,8,236,1.0,,True,170,8,7.136363636363637,1561,2,1600,0,0.12290502793296089,dg5_bulk,2,wall,2383,True,4.53638300041348,0.8920454545454546,8
1105,9,1105,1.0,,True,1105,1,1,1561,,1600,1,1,dijkstra,,wall,4247,True,9.859200999926543,1,1
1339,9,1339,1.0,,True,1339,1,1,1561,,1600,1,1,bidir,,wall,5166,True,25.142934999166755,1,1
900,9,900,1.0,,True,900,1,1,1561,,1600,1,1,astar,,wall,3449,True,7.864421999329352,1,1
157,9,314,1.0,,True,157,1,1.0,1561,0,1600,1,0.5,dg5_bulk,0,wall,1718,True,1.4114589994278504,1.0,1
79,9,158,1.0,,True,79,2,1.9873417721518987,1561,0,1600,1,0.3347457627118644,dg5_bulk,0,wall,1718,True,1.4264820001699263,0.9936708860759493,2
82,9,215,1.0,,True,133,4,3.8292682926829267,1561,1,1600,1,0.20707070707070707,dg5_bulk,1,wall,2009,True,2.683396999600518,0.9573170731707317,4
66,9,235,1.0,,True,169,8,7.136363636363637,1561,2,1600,1,0.12290502793296089,dg5_bulk,2,wall,2394,True,4.506117000346421,0.8920454545454546,8
3998,10,3998,1.0,,True,3998,1,1,4831,,4900,0,1,dijkstra,,wall,15655,True,42.22891700010223,1,1
3991,10,3991,1.0,,True,3991,1,1,4831,,4900,0,1,bidir,,wall,15646,True,85.84754999992583,1,1
3106,10,3106,1.0,,True,3106,1,1,4831,,4900,0,1,astar,,wall,12141,True,33.429995000005874,1,1
484,10,968,1.0,,True,484,1,1.0,4831,0,4900,0,0.5,dg5_bulk,0,wall,5315,True,4.886110000370536,1.0,1
243,10,486,1.0,,True,243,2,1.991769547325103,4831,0,4900,0,0.3342503438789546,dg5_bulk,0,wall,5315,True,4.709664000074554,0.9958847736625515,2
245,10,572,1.0,,True,327,4,3.951020408163265,4831,1,4900,0,0.2019785655399835,dg5_bulk,1,wall,6013,True,7.307582000066759,0.9877551020408163,4
126,10,320,1.0,,True,194,8,7.682539682539683,4831,1,4900,0,0.11517367458866545,dg5_bulk,2,wall,6113,True,8.648134999930335,0.9603174603174603,8
3250,11,3250,1.0,,True,3250,1,1,4831,,4900,1,1,dijkstra,,wall,12707,True,33.39989899995999,1,1
4189,11,4189,1.0,,True,4189,1,1,4831,,4900,1,1,bidir,,wall,16416,True,90.5699619997904,1,1
2640,11,2640,1.0,,True,2640,1,1,4831,,4900,1,1,astar,,wall,10304,True,28.489512000305695,1,1
484,11,968,1.0,,True,484,1,1.0,4831,0,4900,1,0.5,dg5_bulk,0,wall,5315,True,4.967693000253348,1.0,1
243,11,486,1.0,,True,243,2,1.991769547325103,4831,0,4900,1,0.3342503438789546,dg5_bulk,0,wall,5315,True,4.827871999623312,0.9958847736625515,2
163,11,395,1.0,,True,232,4,3.9079754601226995,4831,1,4900,1,0.20375,dg5_bulk,1,wall,5659,True,6.024827999681293,0.9769938650306749,4
126,11,318,1.0,,True,192,8,7.682539682539683,4831,1,4900,1,0.11517367458866545,dg5_bulk,2,wall,6103,True,8.261001000391843,0.9603174603174603,8
362,12,362,1.0,,True,362,1,1,362,,400,0,1,dijkstra,,double_wall,1290,True,2.3003699998298544,1,1
