case_id,critical_path_speedup,distance_ratio,efficiency,found,logical_speedup,nodes,serial_fraction,topology,valid,wall_speedup,worker_utilization,workers
12,1.5233333333333334,1.0,0.7527675276752768,True,1.5055350553505535,362,0.3411764705882353,double_wall,True,0.8307851475049691,0.9655172413793104,2
12,2.6264367816091956,1.0,0.6986301369863014,True,2.7945205479452055,362,0.23333333333333334,double_wall,True,0.8290917300813934,0.8214285714285714,4
12,0.9621052631578947,1.0,0.11409395973154363,True,0.912751677852349,362,0.7649402390438247,double_wall,True,0.3473283228908141,0.5129310344827587,8
13,1.0,1.631578947368421,1.0,True,1.0,362,0.5,double_wall,True,1.0,1.0,1
13,1.8770053475935828,1.5789473684210527,0.9530201342281879,True,1.9060402684563758,362,0.3392857142857143,double_wall,True,1.0492672048045248,0.9736842105263158,2
13,2.0892857142857144,1.8421052631578947,0.5259259259259259,True,2.1037037037037036,362,0.22916666666666666,double_wall,True,0.6769096134719201,0.8409090909090909,4
13,2.9008264462809916,1.0,0.3736842105263158,True,2.9894736842105263,362,0.15950920245398773,double_wall,True,0.7662646035736095,0.6586538461538461,8
14,1.0,1.0,1.0,True,1.0,1522,0.5,double_wall,True,1.0,1.0,1
14,1.851554663991976,1.0,0.9531066822977726,True,1.9062133645955452,1522,0.33488372093023255,double_wall,True,0.9799311291776739,0.9930555555555556,2
14,2.8443759630200307,1.0,0.7364130434782609,True,2.9456521739130435,1522,0.20770877944325483,double_wall,True,0.8228307381481647,0.9536082474226805,4
14,4.093126385809312,1.0,0.5463709677419355,True,4.370967741935484,1522,0.12229102167182662,double_wall,True,0.7074694066095361,0.8971518987341772,8
15,1.0,1.7692307692307692,1.0,True,1.0,1522,0.5,double_wall,True,1.0,1.0,1
15,1.8180515759312321,1.8205128205128205,0.9388297872340425,True,1.877659574468085,1522,0.335,double_wall,True,0.9839596584661371,0.9925373134328358,2
15,3.384,1.6153846153846154,0.8974576271186441,True,3.5898305084745763,1522,0.20725388601036268,double_wall,True,0.9489110097192335,0.95625,4
15,3.857142857142857,1.641025641025641,0.5052480916030534,True,4.041984732824427,1522,0.12476722532588454,double_wall,True,0.7252534470488402,0.8768656716417911,8
16,1.0,1.0,1.0,True,1.0,4762,0.5,double_wall,True,1.0,1.0,1
16,1.9458060062133242,1.0,0.9824872097599371,True,1.9649744195198742,4762,0.3339587242026266,double_wall,True,0.9950398824129913,0.9971910112359551,2
16,3.5677215189873417,1.0,0.9301415797317437,True,3.720566318926975,4762,0.20203735144312393,double_wall,True,0.9927195683127604,0.9873949579831933,4
16,5.847510373443983,1.0,0.7860516372795969,True,6.288413098236775,4762,0.11517615176151762,double_wall,True,0.8370407598776378,0.9602941176470589,8
17,1.0,1.826086956521739,1.0,True,1.0,4762,0.5,double_wall,True,1.0,1.0,1
17,1.9627016129032258,1.826086956521739,0.9860436893203883,True,1.9720873786407767,4762,0.33399602385685884,double_wall,True,1.0152709406209801,0.9970238095238095,2
17,3.530371713508613,1.826086956521739,0.9180790960451978,True,3.672316384180791,4762,0.20222634508348794,double_wall,True,0.839979490035607,0.9862385321100917,4
