case_id,config,distance_ratio,emergency,exact_match,first_path_work,found,nodes,quality_budget_used,repair,seed,steps,strategy,target_work,time_ms,topology,total_work,valid,within_10pct,work_goal_ratio
35,lean_a,1.0,False,True,79,True,1540,647,False,2,6,geometric_corridor,770,11.632230999566673,culdesac,726,True,True,0.4714285714285714
36,lean_a,1.0,False,True,,True,346,0,False,0,81,geometric_corridor,173,5.354975999580347,spiral,173,True,True,0.5
37,lean_a,1.0,False,True,,True,346,0,False,1,81,geometric_corridor,173,5.28196699997352,spiral,173,True,True,0.5
38,lean_a,1.0,False,True,,True,346,0,False,2,81,geometric_corridor,173,5.24827700064634,spiral,173,True,True,0.5
39,lean_a,1.0,False,True,,True,1356,0,False,0,274,geometric_corridor,678,21.245244999590795,spiral,678,True,True,0.5
40,lean_a,1.0,False,True,,True,1356,0,False,1,274,geometric_corridor,678,21.14438499938842,spiral,678,True,True,0.5
41,lean_a,1.0,False,True,,True,1356,0,False,2,274,geometric_corridor,678,20.914400999572536,spiral,678,True,True,0.5
42,lean_a,1.0,False,True,39,True,351,137,False,0,4,geometric_corridor,176,2.6145439996980713,random_obstacles,176,True,True,0.5014245014245015
43,lean_a,1.0,False,True,40,True,343,132,True,1,4,geometric_corridor,172,2.515004999622761,random_obstacles,172,True,True,0.5014577259475219
44,lean_a,1.0,False,True,41,True,350,134,False,2,4,geometric_corridor,175,2.5830869999481365,random_obstacles,175,True,True,0.5
45,lean_a,1.0,False,True,82,True,1388,584,False,0,6,geometric_corridor,694,10.18815400038875,random_obstacles,666,True,True,0.47982708933717577
46,lean_a,1.0,False,True,85,True,1411,593,False,1,6,geometric_corridor,706,10.476725000444276,random_obstacles,678,True,True,0.4805102763997165
47,lean_a,1.0,False,True,80,True,1415,596,False,2,6,geometric_corridor,708,10.385728999608546,random_obstacles,676,True,True,0.4777385159010601
48,lean_a,1.0,True,True,,False,380,0,False,0,19,geometric_corridor,190,7.389314000647573,disconnected,786,True,True,2.068421052631579
49,lean_a,1.0,True,True,,False,380,0,False,1,19,geometric_corridor,190,7.227623000289896,disconnected,786,True,True,2.068421052631579
