_beam_astar_path_calls,_beam_astar_path_ms,_budgeted_bidirectional_dijkstra_calls,_budgeted_bidirectional_dijkstra_ms,_budgeted_dijkstra_calls,_budgeted_dijkstra_ms,_candidate_result_calls,_candidate_result_ms,_choose_strategy_calls,_choose_strategy_ms,_corridor_nodes_calls,_corridor_nodes_ms,_expand_by_hops_calls,_expand_by_hops_ms,_geometric_corridor_strategy_calls,_geometric_corridor_strategy_ms,_graph_features_calls,_graph_features_ms,_greedy_geometric_path_calls,_greedy_geometric_path_ms,_hub_aware_strategy_calls,_hub_aware_strategy_ms,_local_repair_calls,_local_repair_ms,_long_edge_portal_endpoints_calls,_long_edge_portal_endpoints_ms,_portal_strategy_calls,_portal_strategy_ms,_weighted_astar_calls,_weighted_astar_ms,_weighted_cost_strategy_calls,_weighted_cost_strategy_ms,case_id,edges,elapsed_ms,emergency,first_path_work,found,nodes,path_distance_calls,path_distance_ms,quality_budget_used,ratio,repair,result_time_ms,seed,strategy,target_work,topology,within10,work
2,0.42122300055780215,1,0.3650290000223322,4,0.05895899903407553,4,0.06256399865378626,1,0.0010120002116309479,2,0.724668999282585,2,0.03104699953837553,1,1.2489170003391337,1,0.8281450000140467,1,0.08332499965035822,,,,,1,0.5961650003882824,1,1.4158970006974414,1,0.5336120002539246,1,0.37114699989615474,37,595,3.898187000231701,False,,True,346,1,0.008051999429881107,0,1.0,False,3.8882819999344065,1,geometric_corridor,156,spiral,True,166
2,0.4383690011309227,1,0.3530510002747178,4,0.06009999924572185,4,0.06321599994407734,1,0.0009610002962290309,2,0.8117699999274919,2,0.030255000638135243,1,1.3280559996928787,1,0.6961159997445066,1,0.08195299960789271,,,,,1,0.5965270001979661,1,1.4374099991982803,1,0.5254690004221629,1,0.35927999942941824,38,595,3.853700000036042,False,,True,346,1,0.008032000550883822,0,1.0,False,3.8440349999291357,2,geometric_corridor,156,spiral,True,166
2,1.5238089999911608,1,1.6270750002149725,5,0.25895800172293093,5,0.26473900015844265,1,0.0015019995771581307,2,3.1237530001817504,2,0.05081699964648578,1,3.669973999421927,1,1.2472839998736163,1,0.14697100050398149,,,,,1,2.8839830001743394,1,5.935357000453223,1,0.8213540004362585,1,1.636017999771866,39,2382,12.541584000246075,False,,True,1356,1,0.017745999684848357,0,1.0,False,12.528774000202247,0,geometric_corridor,611,spiral,True,611
2,2.013403999626462,1,1.8639910003912519,5,0.28370600011839997,5,0.2902469987020595,1,0.00175300010596402,2,2.877603999877465,2,0.04744299985759426,1,3.7032649997854605,1,1.2152660001447657,1,0.1757039999574772,,,,,1,2.458324000144785,1,5.884231000891305,1,0.9153559994956595,1,1.87479699980031,40,2382,12.734963999719184,False,,True,1356,1,0.01809700006560888,0,1.0,False,12.71909000024607,1,geometric_corridor,611,spiral,True,611
2,1.875046999884944,1,2.1839920000275015,5,0.32550900050409837,5,0.33243999951082515,1,0.0019629997041192837,2,3.4361729994998313,2,0.059267999859002884,1,4.434953999407298,1,1.1645200002021738,1,0.15195800006040372,,,,,1,2.950614000837959,1,6.604833999517723,1,1.4258319997679791,1,2.1965910000290023,41,2382,14.471794000201044,False,,True,1356,1,0.025539000489516184,0,1.0,False,14.45316500030458,2,geometric_corridor,611,spiral,True,611
1,0.1558439998916583,,,2,0.10779300009744475,2,0.11048600026697386,1,0.0014319994079414755,1,0.5565470000874484,,,1,0.8430859998043161,1,1.0339939999539638,,,,,,,,,,,,,,,42,583,1.9190829998478875,False,39,True,351,1,0.012108000191801693,119,1.0,False,1.9052630004807725,0,geometric_corridor,158,random_obstacles,True,158
1,0.2206720000685891,,,3,0.10292299975844799,3,0.10589900011837017,1,0.0012820000847568735,1,0.5061509991719504,,,1,0.8532720003131544,1,0.8348649998879409,,,,,,,,,,,,,,,43,565,1.7238199998246273,False,40,True,343,1,0.01600500036147423,115,1.0,False,1.7131539998445078,1,geometric_corridor,155,random_obstacles,True,155
1,0.13403100001596613,,,2,0.09041500015882775,2,0.0923589996091323,1,0.0011920001270482317,1,0.4507769999690936,,,1,0.696736999998393,1,0.6975579999561887,,,,,,,,,,,,,,,44,577,1.4189520006766543,False,41,True,350,1,0.008232999789470341,117,1.0,False,1.4093979998506256,2,geometric_corridor,158,random_obstacles,True,158
1,0.25763699977687793,,,3,0.46161400041455636,3,0.4651580002246192,1,0.0013019998732488602,1,1.8576910006231628,,,1,2.612424999824725,1,1.1821660000350676,,,,,,,,,,,,,,,45,2349,3.8324779998220038,False,82,True,1388,1,0.017856999875220936,543,1.0,False,3.8206400004128227,0,geometric_corridor,625,random_obstacles,True,625
1,0.306810999973095,,,3,0.5822749990329612,3,0.5864610011485638,1,0.0013319995559868403,1,1.9164590003128978,,,1,2.8449640003600507,1,1.223027999913029,,,,,,,,,,,,,,,46,2446,4.1109969997705775,False,85,True,1411,1,0.01939899993885774,550,1.0,False,4.096815000593779,1,geometric_corridor,635,random_obstacles,True,635
1,0.2624540002216236,,,3,0.48425800014229026,3,0.48767199950816575,1,0.0012119999155402184,1,1.8708609995883307,,,1,2.655899999808753,1,1.2587709998115315,,,,,,,,,,,,,,,47,2444,3.955211999709718,False,80,True,1415,1,0.018337000255996827,557,1.0,False,3.9418429996658233,2,geometric_corridor,637,random_obstacles,True,637
4,1.6202739998334437,1,0.3999009995823144,8,0.19772700034081936,8,0.20392499936860986,1,0.0011520005500642583,2,0.9992109999075183,6,0.11141800132463686,1,1.5404850000777515,1,0.7374180004262598,1,0.11180799992871471,1,0.27425200005382067,,,1,0.678919999700156,1,1.639754000279936,1,0.5427550004242221,1,0.4053590000694385,48,701,5.76918799924897,True,,False,380,,,0,1.0,False,5.75718100026279,0,geometric_corridor,171,disconnected,True,796
4,1.7739750010150601,1,0.40444700061925687,8,0.1962650003406452,8,0.2023129982262617,1,0.0012219998097862117,2,0.7963659991219174,6,0.10966299942083424,1,1.4870250006424612,1,0.7922100003270316,1,0.14022100003785454,1,0.2726900002016919,,,1,0.6796110001232591,1,1.604369999768096,1,0.5830160007462837,1,0.40944499960460234,49,701,5.823590000545664,True,,False,380,,,0,1.0,False,5.813153999952192,1,geometric_corridor,171,disconnected,True,796
4,1.6990520007311716,1,0.47286100016208366,8,0.24281699916173238,8,0.2497059995221207,1,0.0009210007192450576,2,0.8198719997380977,6,0.13849699917045655,1,1.411521000591165,1,0.7412140002998058,1,0.11086699942097766,1,0.36196299970470136,,,1,0.6611930002691224,1,1.599643999725231,1,0.58752299992193,1,0.47931999961292604,50,701,5.864632000339043,True,,False,380,,,0,1.0,False,5.85408599999937,2,geometric_corridor,171,disconnected,True,796
4,7.631827999830421,1,2.577012000074319,9,0.48634900122124236,9,0.4957130004186183,1,0.0011709998943842947,2,3.3591870005693636,6,0.15775800147821428,1,3.9668899999014684,1,1.1582999995880527,1,0.24708100045245374,1,0.49636600033409195,,,1,3.3703339995554416,1,7.011464999777672,1,0.8812649994069943,1,2.5845930003924877,51,3001,21.07693899961305,True,,False,1560,,,0,1.0,False,21.06292700045742,0,geometric_corridor,702,disconnected,True,3218
4,6.989682998209901,1,2.0657140003095265,9,0.4685139992943732,9,0.47818800067034317,1,0.0018030004866886884,2,3.3946610001294175,6,0.15118800092750462,1,4.301652999856742,1,1.5618570005244692,1,0.32452799950988265,1,0.46439800007647136,,,1,3.425447000154236,1,7.121470000129193,1,1.0749849998319405,1,2.0726640004795627,52,3001,20.684168000116188,True,,False,1560,,,0,1.0,False,20.66771299996617,1,geometric_corridor,702,disconnected,True,3218
4,7.068860000799759,1,2.1304410001903307,9,0.4518189998634625,9,0.461742999505077,1,0.0015229998098220676,2,3.3351720003338414,6,0.13381000098888762,1,3.8747210001019994,1,1.1173989996677847,1,0.21677600034308853,1,0.46648100033053197,,,1,3.7273910002113553,1,7.333968999773788,1,0.867433000166784,1,2.138183000170102,53,3001,20.3200209998613,True,,False,1560,,,0,1.0,False,20.303175000663032,2,geometric_corridor,702,disconnected,True,3218
