case_id,distance,distance_ratio,edges,error_code,fallback_used,found,nodes,path_distance,peak_kib_uniform,quality_guard_replaced,quality_guard_used,quality_guard_work,reentry_count,requested_nodes,seed,solver,steps,switch_count,topology,topology_gate_action,topology_gate_reasons,topology_risk_class,topology_risk_score,total_time_ms,total_work,valid
11,49.35240932371695,1.0204818536672062,3120,,False,True,1600,49.35240932371695,37.4765625,False,False,0,0,1600,2,astar,152,0,weighted_noise,BASELINE,,,,1.2440560000186451,595,True
11,48.36186860781894,1.0,3120,,True,True,1600,48.36186860781894,1019.6484375,False,False,0,0,1600,2,dg5,1542,0,weighted_noise,EXACT_PRECHECK,GEOMETRY_WEIGHT_MISMATCH,medium,0.35,128.81694000009247,12746,True
12,38.0,1.0,703,,False,True,381,38.0,66.2890625,False,False,0,0,400,0,dijkstra,318,0,wall,BASELINE,,,,2.194931999952132,1175,True
12,38.0,1.0,703,,False,True,381,38.0,170.796875,False,False,0,0,400,0,bidir,306,0,wall,BASELINE,,,,4.317475999982889,1136,True
12,38.0,1.0,703,,False,True,381,38.0,33.25,False,False,0,0,400,0,astar,253,0,wall,BASELINE,,,,1.3789380000162055,929,True
12,38.0,1.0,703,,False,True,381,38.0,194.82421875,False,False,0,0,400,0,dg5,41,0,wall,BASELINE,,,,20.389098000009653,1826,True
13,38.0,1.0,703,,False,True,381,38.0,32.7109375,False,False,0,0,400,1,dijkstra,282,0,wall,BASELINE,,,,1.6693740000164325,1039,True
13,38.0,1.0,703,,False,True,381,38.0,101.1875,False,False,0,0,400,1,bidir,320,0,wall,BASELINE,,,,4.2005500000641405,1188,True
13,38.0,1.0,703,,False,True,381,38.0,33.2265625,False,False,0,0,400,1,astar,233,0,wall,BASELINE,,,,1.277505999951245,854,True
13,38.0,1.0,703,,False,True,381,38.0,195.75390625,False,False,0,0,400,1,dg5,41,0,wall,BASELINE,,,,19.95371000009527,1826,True
14,38.0,1.0,703,,False,True,381,38.0,34.9609375,False,False,0,0,400,2,dijkstra,264,0,wall,BASELINE,,,,1.6421430000264081,971,True
14,38.0,1.0,703,,False,True,381,38.0,175.875,False,False,0,0,400,2,bidir,324,0,wall,BASELINE,,,,4.97003499992843,1202,True
14,38.0,1.0,703,,False,True,381,38.0,33.2265625,False,False,0,0,400,2,astar,219,0,wall,BASELINE,,,,1.1772259999816015,801,True
14,38.0,1.0,703,,False,True,381,38.0,197.09765625,False,False,0,0,400,2,dg5,41,0,wall,BASELINE,,,,20.527451000020847,1826,True
15,78.0,1.0,3003,,False,True,1561,78.0,260.3203125,False,False,0,0,1600,0,dijkstra,1257,0,wall,BASELINE,,,,12.041921999980332,4839,True
15,78.0,1.0,3003,,False,True,1561,78.0,541.765625,False,False,0,0,1600,0,bidir,1295,0,wall,BASELINE,,,,25.61936799997966,4998,True
15,78.0,1.0,3003,,False,True,1561,78.0,137.921875,False,False,0,0,1600,0,astar,990,0,wall,BASELINE,,,,9.166559000050256,3800,True
15,78.0,1.0,3003,,False,True,1561,78.0,881.41796875,False,False,0,0,1600,0,dg5,159,0,wall,BASELINE,,,,102.83275599999797,7724,True
16,78.0,1.0,3003,,False,True,1561,78.0,139.1484375,False,False,0,0,1600,1,dijkstra,1105,0,wall,BASELINE,,,,10.377746000017396,4247,True
16,78.0,1.0,3003,,False,True,1561,78.0,752.625,False,False,0,0,1600,1,bidir,1339,0,wall,BASELINE,,,,28.193758999918828,5166,True
16,78.0,1.0,3003,,False,True,1561,78.0,137.8359375,False,False,0,0,1600,1,astar,900,0,wall,BASELINE,,,,8.384416000012607,3449,True
16,78.0,1.0,3003,,False,True,1561,78.0,881.41015625,False,False,0,0,1600,1,dg5,159,0,wall,BASELINE,,,,102.64796800004206,7724,True
17,78.0,1.0,3003,,False,True,1561,78.0,136.8984375,False,False,0,0,1600,2,dijkstra,1029,0,wall,BASELINE,,,,9.260100000005878,3951,True
17,78.0,1.0,3003,,False,True,1561,78.0,640.8125,False,False,0,0,1600,2,bidir,1349,0,wall,BASELINE,,,,25.929773000029854,5202,True
17,78.0,1.0,3003,,False,True,1561,78.0,137.8359375,False,False,0,0,1600,2,astar,839,0,wall,BASELINE,,,,7.440159999987372,3211,True
17,78.0,1.0,3003,,False,True,1561,78.0,881.40234375,False,False,0,0,1600,2,dg5,159,0,wall,BASELINE,,,,103.43511400003536,7724,True
18,72.0,1.0,646,,False,True,362,72.0,85.7109375,False,False,0,0,400,0,dijkstra,362,0,double_wall,BASELINE,,,,2.4759840000569966,1290,True
18,72.0,1.0,646,,False,True,362,72.0,164.40625,False,False,0,0,400,0,bidir,356,0,double_wall,BASELINE,,,,4.8022229999560295,1270,True
18,72.0,1.0,646,,False,True,362,72.0,84.9921875,False,False,0,0,400,0,astar,359,0,double_wall,BASELINE,,,,2.4410820000184685,1282,True
18,72.0,1.0,646,,False,True,362,72.0,195.703125,False,True,1270,1,400,0,dg5,410,1,double_wall,BASELINE,,,,32.16017399995508,3330,True
19,38.0,1.0,646,,False,True,362,38.0,32.7109375,False,False,0,0,400,1,dijkstra,275,0,double_wall,BASELINE,,,,1.4744019999852753,977,True
19,38.0,1.0,646,,False,True,362,38.0,87.59375,False,False,0,0,400,1,bidir,314,0,double_wall,BASELINE,,,,3.8526099999671715,1128,True
19,38.0,1.0,646,,False,True,362,38.0,33.40625,False,False,0,0,400,1,astar,254,0,double_wall,BASELINE,,,,1.638157999991563,900,True
19,38.0,1.0,646,,False,True,362,38.0,185.98046875,True,True,1128,1,400,1,dg5,286,1,double_wall,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,,,27.839980000067044,3066,True
20,72.0,1.0,646,,False,True,362,72.0,85.7109375,False,False,0,0,400,2,dijkstra,362,0,double_wall,BASELINE,,,,2.5055789999441913,1290,True
20,72.0,1.0,646,,False,True,362,72.0,181.25,False,False,0,0,400,2,bidir,356,0,double_wall,BASELINE,,,,4.986391999977968,1270,True
20,72.0,1.0,646,,False,True,362,72.0,84.9921875,False,False,0,0,400,2,astar,359,0,double_wall,BASELINE,,,,2.4137110000310713,1282,True
20,72.0,1.0,646,,False,True,362,72.0,195.1875,False,True,1270,1,400,2,dg5,410,1,double_wall,BASELINE,,,,32.90470399997503,3330,True
21,152.0,1.0,2886,,False,True,1522,152.0,338.7421875,False,False,0,0,1600,0,dijkstra,1522,0,double_wall,BASELINE,,,,14.42386099995474,5770,True
21,152.0,1.0,2886,,False,True,1522,152.0,677.484375,False,False,0,0,1600,0,bidir,1510,0,double_wall,BASELINE,,,,29.19218899990028,5726,True
21,152.0,1.0,2886,,False,True,1522,152.0,341.359375,False,False,0,0,1600,0,astar,1519,0,double_wall,BASELINE,,,,14.466905999938717,5762,True
21,152.0,1.0,2886,,False,True,1522,152.0,846.86328125,False,True,5726,1,1600,0,dg5,1628,1,double_wall,BASELINE,,,,168.43580199997632,14645,True
22,78.0,1.0,2886,,False,True,1522,78.0,137.2421875,False,False,0,0,1600,1,dijkstra,1119,0,double_wall,BASELINE,,,,10.249818999909621,4233,True
22,78.0,1.0,2886,,False,True,1522,78.0,663.7734375,False,False,0,0,1600,1,bidir,1328,0,double_wall,BASELINE,,,,25.62504600007287,5052,True
22,78.0,1.0,2886,,False,True,1522,78.0,138.3984375,False,False,0,0,1600,1,astar,1028,0,double_wall,BASELINE,,,,9.413142999960655,3883,True
22,78.0,1.0,2886,,False,True,1522,78.0,842.20703125,True,True,5052,1,1600,1,dg5,1061,1,double_wall,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,,,141.99711999992815,13405,True
23,152.0,1.0,2886,,False,True,1522,152.0,338.7421875,False,False,0,0,1600,2,dijkstra,1522,0,double_wall,BASELINE,,,,14.142808999963563,5770,True
23,152.0,1.0,2886,,False,True,1522,152.0,662.828125,False,False,0,0,1600,2,bidir,1510,0,double_wall,BASELINE,,,,29.496425000047566,5726,True
23,152.0,1.0,2886,,False,True,1522,152.0,341.359375,False,False,0,0,1600,2,astar,1519,0,double_wall,BASELINE,,,,14.693364999970981,5762,True
23,152.0,1.0,2886,,False,True,1522,152.0,846.84765625,False,True,5726,1,1600,2,dg5,1628,1,double_wall,BASELINE,,,,166.1124470000459,14645,True
24,38.0,1.0,663,,False,True,368,38.0,83.5546875,False,False,0,0,400,0,dijkstra,368,0,u_shape,BASELINE,,,,2.5399809999271383,1324,True
24,38.0,1.0,663,,False,True,368,38.0,99.6171875,False,False,0,0,400,0,bidir,317,0,u_shape,BASELINE,,,,4.0454800000588875,1147,True
24,38.0,1.0,663,,False,True,368,38.0,85.7734375,False,False,0,0,400,0,astar,368,0,u_shape,BASELINE,,,,2.5599510000802184,1324,True
