budget_exhausted,candidate_count,case_id,distance,distance_ratio,edges,emergency_path_used,emergency_work,error_code,exact_match,fallback_used,first_path_work,found,nodes,oracle_used,path_distance,peak_kib_uniform,quality_budget_used,repair_success,repair_triggered,requested_nodes,seed,solver,steps,strategy,target_work,topology,topology_gate_action,total_time_ms,total_work,valid,within_10pct,work_goal_ratio
,0,15,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,0,dg5_clean,159,,157,wall,,12.927001000207383,7724,True,True,
True,1,15,78.0,1.0,3003,False,0,,True,False,79,True,1561,False,78.0,0.0,624,False,False,1600,0,dg6,6,geometric_corridor,703,wall,,4.454130000340228,703,True,True,0.45035233824471493
,0,16,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,1,dijkstra,1105,,,wall,,10.238498000035179,4247,True,True,
,0,16,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,1,bidir,1339,,,wall,,26.16354599922488,5166,True,True,
,0,16,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,1,astar,900,,,wall,,8.311613000842044,3449,True,True,
,0,16,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,1,dg5_clean,159,,157,wall,,12.877511000624509,7724,True,True,
True,1,16,78.0,1.0,3003,False,0,,True,False,79,True,1561,False,78.0,0.0,624,False,False,1600,1,dg6,6,geometric_corridor,703,wall,,4.254811000464542,703,True,True,0.45035233824471493
,0,17,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,2,dijkstra,1029,,,wall,,9.567209000124421,3951,True,True,
,0,17,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,2,bidir,1349,,,wall,,27.208995999899344,5202,True,True,
,0,17,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,2,astar,839,,,wall,,7.653515000129119,3211,True,True,
,0,17,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,2,dg5_clean,159,,157,wall,,11.866834000102244,7724,True,True,
True,1,17,78.0,1.0,3003,False,0,,True,False,84,True,1561,False,78.0,0.0,619,False,False,1600,2,dg6,6,geometric_corridor,703,wall,,4.9575559996810625,703,True,True,0.45035233824471493
,0,18,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,0,dijkstra,362,,,double_wall,,2.485622999301995,1290,True,True,
,0,18,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,0,bidir,356,,,double_wall,,5.153770999640983,1270,True,True,
,0,18,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,0,astar,359,,,double_wall,,2.56021499990311,1282,True,True,
,0,18,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,0,dg5_clean,410,,37,double_wall,,4.5434089997797855,2060,True,True,
True,0,18,72.0,1.0,646,True,307,,True,False,,True,362,False,72.0,0.0,0,False,False,400,0,dg6,15,geometric_corridor,163,double_wall,,4.9484920000395505,474,True,True,1.3093922651933703
,0,19,38.0,1.0,646,False,0,,True,False,,True,362,False,38.0,0.0,,False,False,400,1,dijkstra,275,,,double_wall,,1.5548349992968724,977,True,True,
,0,19,38.0,1.0,646,False,0,,True,False,,True,362,False,38.0,0.0,,False,False,400,1,bidir,314,,,double_wall,,3.8884500008862233,1128,True,True,
,0,19,38.0,1.0,646,False,0,,True,False,,True,362,False,38.0,0.0,,False,False,400,1,astar,254,,,double_wall,,1.396226999531791,900,True,True,
,0,19,62.0,1.631578947368421,646,False,0,,False,False,,True,362,False,62.0,0.0,,False,False,400,1,dg5_clean,286,,37,double_wall,,3.840038000817003,1938,True,False,
True,0,19,38.0,1.0,646,True,215,,True,False,,True,362,False,38.0,0.0,0,False,False,400,1,dg6,11,geometric_corridor,163,double_wall,,4.868222000368405,410,True,True,1.132596685082873
,0,20,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,2,dijkstra,362,,,double_wall,,2.4884170006771456,1290,True,True,
,0,20,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,2,bidir,356,,,double_wall,,4.978296999979648,1270,True,True,
,0,20,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,2,astar,359,,,double_wall,,2.4245419999715523,1282,True,True,
,0,20,72.0,1.0,646,False,0,,True,False,,True,362,False,72.0,0.0,,False,False,400,2,dg5_clean,410,,37,double_wall,,4.469407999749819,2060,True,True,
True,0,20,72.0,1.0,646,True,307,,True,False,,True,362,False,72.0,0.0,0,False,False,400,2,dg6,15,geometric_corridor,163,double_wall,,5.0479619994803215,474,True,True,1.3093922651933703
,0,21,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,0,dijkstra,1522,,,double_wall,,16.68079399951239,5770,True,True,
,0,21,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,0,bidir,1510,,,double_wall,,33.56701599932421,5726,True,True,
,0,21,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,0,astar,1519,,,double_wall,,15.889545000391081,5762,True,True,
,0,21,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,0,dg5_clean,1628,,153,double_wall,,20.05948799978796,8919,True,True,
True,0,21,152.0,1.0,2886,True,1308,,True,False,,True,1522,False,152.0,0.0,0,False,False,1600,0,dg6,57,geometric_corridor,685,double_wall,,16.95295200079272,1993,True,True,1.30946123521682
,0,22,78.0,1.0,2886,False,0,,True,False,,True,1522,False,78.0,0.0,,False,False,1600,1,dijkstra,1119,,,double_wall,,10.3164949996426,4233,True,True,
,0,22,78.0,1.0,2886,False,0,,True,False,,True,1522,False,78.0,0.0,,False,False,1600,1,bidir,1328,,,double_wall,,26.084637000167277,5052,True,True,
,0,22,78.0,1.0,2886,False,0,,True,False,,True,1522,False,78.0,0.0,,False,False,1600,1,astar,1028,,,double_wall,,9.290584000154922,3883,True,True,
,0,22,138.0,1.7692307692307692,2886,False,0,,False,False,,True,1522,False,138.0,0.0,,False,False,1600,1,dg5_clean,1061,,153,double_wall,,17.00344899927586,8353,True,False,
True,0,22,78.0,1.0,2886,True,909,,True,False,,True,1522,False,78.0,0.0,0,False,False,1600,1,dg6,40,geometric_corridor,685,double_wall,,16.4872129998912,1597,True,True,1.0492772667542707
,0,23,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,2,dijkstra,1522,,,double_wall,,14.221921000171278,5770,True,True,
,0,23,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,2,bidir,1510,,,double_wall,,27.644951000183937,5726,True,True,
,0,23,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,2,astar,1519,,,double_wall,,14.332155999909446,5762,True,True,
,0,23,152.0,1.0,2886,False,0,,True,False,,True,1522,False,152.0,0.0,,False,False,1600,2,dg5_clean,1628,,153,double_wall,,19.91906800049037,8919,True,True,
True,0,23,152.0,1.0,2886,True,1308,,True,False,,True,1522,False,152.0,0.0,0,False,False,1600,2,dg6,57,geometric_corridor,685,double_wall,,17.535125999529555,1993,True,True,1.30946123521682
,0,24,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,0,dijkstra,368,,,u_shape,,2.455757999996422,1324,True,True,
,0,24,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,0,bidir,317,,,u_shape,,4.033758999867132,1147,True,True,
,0,24,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,0,astar,368,,,u_shape,,2.5121429998762324,1324,True,True,
,0,24,38.0,1.0,663,False,0,,True,True,,True,368,False,38.0,0.0,,False,False,400,0,dg5_clean,75,,37,u_shape,,2.939814999990631,1767,True,True,
True,1,24,38.0,1.0,663,False,0,,True,False,39,True,368,False,38.0,0.0,127,False,False,400,0,dg6,4,geometric_corridor,166,u_shape,,1.6075039993665996,166,True,True,0.45108695652173914
,0,25,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,1,dijkstra,368,,,u_shape,,2.6497299995753565,1324,True,True,
,0,25,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,1,bidir,317,,,u_shape,,5.594032000772131,1147,True,True,
,0,25,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,1,astar,368,,,u_shape,,3.5427709999567014,1324,True,True,
,0,25,38.0,1.0,663,False,0,,True,True,,True,368,False,38.0,0.0,,False,False,400,1,dg5_clean,75,,37,u_shape,,2.9327100000955397,1767,True,True,
True,1,25,38.0,1.0,663,False,0,,True,False,39,True,368,False,38.0,0.0,127,False,False,400,1,dg6,4,geometric_corridor,166,u_shape,,1.505410999925516,166,True,True,0.45108695652173914
,0,26,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,2,dijkstra,368,,,u_shape,,2.4120830003084848,1324,True,True,
,0,26,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,2,bidir,317,,,u_shape,,3.9612589998796466,1147,True,True,
,0,26,38.0,1.0,663,False,0,,True,False,,True,368,False,38.0,0.0,,False,False,400,2,astar,368,,,u_shape,,2.517310999792244,1324,True,True,
,0,26,38.0,1.0,663,False,0,,True,True,,True,368,False,38.0,0.0,,False,False,400,2,dg5_clean,75,,37,u_shape,,2.925939999840921,1767,True,True,
True,1,26,38.0,1.0,663,False,0,,True,False,39,True,368,False,38.0,0.0,127,False,False,400,2,dg6,4,geometric_corridor,166,u_shape,,1.5570490004392923,166,True,True,0.45108695652173914
,0,27,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,0,dijkstra,1538,,,u_shape,,14.882782999848132,5864,True,True,
,0,27,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,0,bidir,1362,,,u_shape,,26.889585999924748,5205,True,True,
,0,27,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,0,astar,1538,,,u_shape,,15.047951000269677,5864,True,True,
,0,27,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,0,dg5_clean,156,,154,u_shape,,12.794106000001193,7558,True,True,
True,1,27,78.0,1.0,2933,False,0,,True,False,79,True,1538,False,78.0,0.0,614,False,False,1600,0,dg6,6,geometric_corridor,693,u_shape,,4.361050000625255,693,True,True,0.4505851755526658
,0,28,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,1,dijkstra,1538,,,u_shape,,14.741500999662094,5864,True,True,
,0,28,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,1,bidir,1362,,,u_shape,,26.53923100024258,5205,True,True,
,0,28,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,1,astar,1538,,,u_shape,,14.392495999345556,5864,True,True,
,0,28,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,1,dg5_clean,156,,154,u_shape,,12.354235999737284,7558,True,True,
True,1,28,78.0,1.0,2933,False,0,,True,False,79,True,1538,False,78.0,0.0,614,False,False,1600,1,dg6,6,geometric_corridor,693,u_shape,,4.326256999775069,693,True,True,0.4505851755526658
,0,29,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,2,dijkstra,1538,,,u_shape,,15.242813000440947,5864,True,True,
,0,29,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,2,bidir,1362,,,u_shape,,29.608881000058318,5205,True,True,
,0,29,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,2,astar,1538,,,u_shape,,14.547820000188949,5864,True,True,
,0,29,78.0,1.0,2933,False,0,,True,False,,True,1538,False,78.0,0.0,,False,False,1600,2,dg5_clean,156,,154,u_shape,,12.333407999904011,7558,True,True,
True,1,29,78.0,1.0,2933,False,0,,True,False,79,True,1538,False,78.0,0.0,614,False,False,1600,2,dg6,6,geometric_corridor,693,u_shape,,4.7526480002488825,693,True,True,0.4505851755526658
,0,30,38.0,1.0,669,False,0,,True,False,,True,370,False,38.0,0.0,,False,False,400,0,dijkstra,367,,,culdesac,,2.5784929994188133,1328,True,True,
,0,30,38.0,1.0,669,False,0,,True,False,,True,370,False,38.0,0.0,,False,False,400,0,bidir,325,,,culdesac,,4.70735999988392,1181,True,True,
,0,30,38.0,1.0,669,False,0,,True,False,,True,370,False,38.0,0.0,,False,False,400,0,astar,311,,,culdesac,,2.16238700068061,1125,True,True,
,0,30,38.0,1.0,669,False,0,,True,True,,True,370,False,38.0,0.0,,False,False,400,0,dg5_clean,80,,37,culdesac,,2.9835260002073483,1786,True,True,
True,1,30,38.0,1.0,669,False,0,,True,False,39,True,370,False,38.0,0.0,128,False,False,400,0,dg6,4,geometric_corridor,167,culdesac,,1.6915309997784789,167,True,True,0.45135135135135135
,0,31,38.0,1.0,669,False,0,,True,False,,True,370,False,38.0,0.0,,False,False,400,1,dijkstra,367,,,culdesac,,2.363569999943138,1328,True,True,
